Diameter (ft),Rings,Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,U.S. Tons Wheat,Metric Tons Wheat,Low Floor,High Floor,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
27,12,7-02712,"16,593",438.3,397.6,467.5,424.1,"16,043","15,854","32'2""",9.81,"39'6""",12.04,8.229599737,28.45530844,Narrow,Flat
30,4,7-03004,"7,958",210.2,190.7,224.2,203.4,"7,278","7,046","10'10""",3.29,"19'0""",5.79,9.143999707,28.67013255,Narrow,Flat
30,5,7-03005,"9,544",252.1,228.7,268.9,244,"8,864","8,632","13'6""",4.11,"21'8""",6.61,9.143999707,28.67013255,Narrow,Flat
30,6,7-03006,"11,130",294,266.7,313.6,284.5,"10,450","10,218","16'2""",4.94,"24'4""",7.41,9.143999707,28.37991287,Narrow,Flat
30,7,7-03007,"12,716",335.9,304.7,358.3,325,"12,036","11,804","18'10""",5.73,"27'0""",8.23,9.143999707,28.67013255,Narrow,Flat
30,8,7-03008,"14,302",377.8,342.7,403,365.6,"13,622","13,390","21'6""",6.55,"29'8""",9.05,9.143999707,28.67013255,Narrow,Flat
30,9,7-03009,"15,888",419.7,380.7,447.7,406.1,"15,208","14,976","24'2""",7.38,"32'4""",9.85,9.143999707,28.37991287,Narrow,Flat
30,10,7-03010,"17,474",461.6,418.7,492.4,446.7,"16,794","16,562","26'10""",8.17,"35'0""",10.67,9.143999707,28.67013255,Narrow,Flat
30,11,7-03011,"19,060",503.5,456.8,537,487.2,"18,381","18,148","29'6""",8.99,"37'8""",11.49,9.143999707,28.67013255,Narrow,Flat
30,12,7-03012,"20,646",545.4,494.8,581.7,527.7,"19,967","19,734","32'2""",9.81,"40'4""",12.28,9.143999707,28.37991287,Narrow,Flat
30,13,7-03013,"22,232",587.3,532.8,626.4,568.3,"21,553","21,320","34'10""",10.61,"43'0""",13.11,9.143999707,28.67013255,Narrow,Flat
33,4,7-03304,"9,821",259.4,235.3,276.7,251,"8,998","8,717","10'10""",3.29,"19'11""",6.07,10.05839968,28.93258128,Narrow,Flat
33,5,7-03305,"11,740",310.1,281.3,330.8,300.1,"10,917","10,636","13'6""",4.11,"22'6""",6.86,10.05839968,28.67013255,Narrow,Flat
33,6,7-03306,"13,659",360.8,327.3,384.9,349.2,"12,837","12,556","16'2""",4.94,"25'2""",7.68,10.05839968,28.58235596,Narrow,Flat
